season_end,player_id,name,age,team,pos,g,gs,mp,per,ts_pct,usg_pct,ws,bpm,vorp,awards
1980,demicla01,Larry Demic,22,NYK,PF,82,51,1872,7.4,.468,16.0,-0.1,-6.2,-2.0,
1980,scottch01,Charlie Scott,31,DEN,SG,69,,1860,7.4,.432,19.0,-1.4,-6.0,-1.9,
1980,hawesst01,Steve Hawes,29,ATL,PF,82,,1853,16.2,.555,17.8,6.0,2.1,1.9,
1980,dunntr01,T.R. Dunn,24,POR,SG,82,,1841,12.5,.470,15.4,3.3,0.4,1.1,
1980,kelleri01,Rich Kelley,26,2TM,C,80,,1839,14.4,.566,17.3,4.3,0.3,1.1,
1980,kelleri01,Rich Kelley,26,NJN,C,57,,1466,13.8,.559,17.4,3.2,-0.3,0.6,
1980,kelleri01,Rich Kelley,26,PHO,C,23,,373,16.5,.597,16.8,1.1,2.4,0.5,
1980,carrke01,Kenny Carr,24,2TM,PF,79,,1838,15.9,.526,21.7,3.8,-1.2,0.3,
1980,carrke01,Kenny Carr,24,LAL,PF,5,,57,5.2,.474,18.2,-0.1,-5.0,-0.1,
1980,carrke01,Kenny Carr,24,CLE,PF,74,,1781,16.3,.527,21.8,3.9,-1.1,0.4,
1980,tomjaru01,Rudy Tomjanovich,31,HOU,PF,62,,1834,14.2,.522,20.3,3.6,-1.3,0.3,
1980,dietrco01,Coby Dietrick,31,CHI,C,79,,1830,12.1,.494,14.8,2.9,0.6,1.2,
1980,greveke01,Kevin Grevey,26,WSB,SF,65,,1818,13.7,.499,22.0,3.3,-0.8,0.6,
1980,barryri01,Rick Barry,35,HOU,SF,72,,1816,14.8,.517,21.6,3.4,1.1,1.4,
1980,griffpa01,Paul Griffin,26,SAS,C,82,,1812,13.2,.621,11.5,4.4,1.3,1.5,
1980,crissch01,Charlie Criss,31,ATL,PG,81,,1794,11.5,.500,18.2,2.8,-1.4,0.3,
1980,willidu01,Duck Williams,23,UTA,PG,77,,1794,8.6,.464,15.6,-0.3,-4.0,-0.9,
1980,cleamji01,Jim Cleamons,30,2TM,PG,79,0,1789,10.8,.519,13.4,2.3,-1.7,0.2,
1980,cleamji01,Jim Cleamons,30,NYK,PG,22,0,254,11.1,.496,14.0,0.3,-1.2,0.1,
1980,cleamji01,Jim Cleamons,30,WSB,PG,57,0,1535,10.7,.523,13.3,2.1,-1.8,0.1,
1980,douglle01,Leon Douglas,25,DET,C,70,,1782,11.4,.529,14.3,2.1,-2.8,-0.3,
1980,coopewa01,Wayne Cooper,23,GSW,PF,79,,1781,14.8,.525,22.4,2.8,-3.5,-0.7,
1980,brownfr01,Fred Brown,31,SEA,SG,80,,1701,16.4,.532,23.4,4.9,1.4,1.4,
1980,bucknqu01,Quinn Buckner,25,MIL,PG,67,,1690,16.5,.501,20.4,4.4,1.7,1.6,DEF2
1980,raycl01,Clifford Ray,31,GSW,C,81,,1683,11.3,.546,14.8,1.9,-1.6,0.2,
1980,robincl01,Cliff Robinson,19,NJN,PF,70,,1661,17.0,.506,25.0,3.6,-0.6,0.6,
1980,shortpu01,Purvis Short,22,GSW,SF,62,,1636,19.1,.534,28.0,3.7,0.8,1.2,
1980,hardyja01,James Hardy,23,UTA,PF,76,,1600,11.8,.536,13.4,1.8,-1.4,0.2,
1980,silaspa01,Paul Silas,36,SEA,PF,82,,1595,8.2,.439,10.9,2.2,-2.9,-0.4,
1980,carrau01,Austin Carr,31,CLE,SG,77,,1595,14.3,.497,24.6,2.0,-1.7,0.1,
1980,twardda01,Dave Twardzik,29,POR,PG,67,,1594,13.9,.562,16.4,3.7,-0.5,0.6,
1980,bratzmi01,Mike Bratz,24,PHO,PG,82,,1589,11.6,.462,22.3,1.5,-2.5,-0.2,
1980,grossbo01,Bob Gross,26,POR,SF,62,,1581,12.0,.515,17.9,1.7,-0.6,0.6,
1980,gilmoar01,Artis Gilmore,30,CHI,C,48,,1568,19.9,.643,20.7,5.6,2.9,1.9,
1980,meriwjo01,Joe Meriweather,26,NYK,PF,65,30,1565,12.2,.549,15.8,2.2,-2.0,0.0,
1980,moncrsi01,Sidney Moncrief,22,MIL,SG,77,,1557,15.9,.564,17.8,4.9,1.5,1.4,
1980,smithph01,Phil Smith,27,GSW,SG,51,,1552,14.6,.521,23.4,2.2,-0.9,0.4,
1980,hendeto01,Tom Henderson,28,HOU,PG,66,,1551,9.7,.510,11.7,1.3,-1.8,0.1,
1980,moneyer01,Eric Money,24,2TM,SG,61,0,1549,11.4,.531,18.6,0.6,-3.6,-0.7,
1980,moneyer01,Eric Money,24,PHI,PG,6,0,82,4.4,.407,23.8,-0.2,-5.8,-0.2,
1980,moneyer01,Eric Money,24,DET,SG,55,,1467,11.7,.539,18.3,0.8,-3.4,-0.5,
1980,jonesma01,Major Jones,26,HOU,PF,82,,1545,10.3,.498,14.1,1.3,-2.3,-0.1,
1980,haywosp01,Spencer Haywood,30,LAL,PF,76,,1544,13.9,.540,21.2,3.1,-2.3,-0.1,
1980,mixst01,Steve Mix,32,PHI,SF,81,5,1543,19.5,.577,24.5,5.5,2.4,1.7,
1980,johnscl01,Clemon Johnson,23,IND,C,79,0,1541,13.9,.527,13.2,3.5,0.1,0.8,
1980,johnsol01,Ollie Johnson,30,CHI,SF,79,,1535,12.3,.534,17.6,2.3,-0.9,0.4,
1980,mcelrji01,Jim McElroy,26,2TM,PG,67,,1528,10.6,.492,18.8,0.8,-3.2,-0.5,
1980,mcelrji01,Jim McElroy,26,DET,PG,36,,1012,11.4,.517,18.9,0.5,-3.6,-0.4,
1980,mcelrji01,Jim McElroy,26,ATL,PG,31,,516,9.0,.440,18.8,0.2,-2.6,-0.1,
1980,pheglro01,Roger Phegley,23,2TM,SG,78,,1512,14.2,.536,24.4,2.6,-1.9,0.1,
1980,pheglro01,Roger Phegley,23,WSB,SG,50,,971,14.0,.527,24.2,1.6,-2.0,0.0,
1980,pheglro01,Roger Phegley,23,NJN,SG,28,,541,14.8,.551,24.6,1.0,-1.5,0.1,
1980,landsma01,Mark Landsberger,24,2TM,C,77,,1510,15.7,.529,18.3,3.4,-1.8,0.1,
1980,landsma01,Mark Landsberger,24,CHI,C,54,,1136,15.3,.541,17.7,2.4,-1.8,0.1,
1980,landsma01,Mark Landsberger,24,LAL,C,23,,374,17.0,.498,20.0,1.0,-2.0,0.0,
1980,porteke01,Kevin Porter,29,WSB,PG,70,,1494,13.1,.514,17.5,1.8,-1.5,0.2,
1980,galemi01,Mike Gale,29,SAS,PG,67,,1474,13.3,.513,14.0,2.2,0.6,1.0,
1980,dandrbo01,Bob Dandridge,32,WSB,SF,45,,1457,14.8,.492,24.9,1.7,-0.2,0.7,
1980,jonesdw01,Dwight Jones,27,2TM,PF,74,,1448,14.2,.555,20.0,2.7,-1.5,0.2,
1980,jonesdw01,Dwight Jones,27,HOU,PF,21,,278,11.3,.471,22.0,0.3,-5.2,-0.3,
1980,jonesdw01,Dwight Jones,27,CHI,PF,53,,1170,14.9,.580,19.6,2.4,-0.6,0.4,
1980,willobi01,Bill Willoughby,22,CLE,SF,78,,1447,12.7,.522,15.4,3.0,-0.8,0.4,
1980,heardga01,Gar Heard,31,PHO,PF,82,,1403,11.5,.453,15.2,2.3,-0.9,0.4,
1980,grunfer01,Ernie Grunfeld,24,KCK,SF,80,,1397,10.9,.496,16.0,2.5,-1.3,0.3,
1980,willijo01,John Williamson,28,2TM,SG,58,,1374,13.5,.481,27.5,1.3,-2.4,-0.1,
1980,willijo01,John Williamson,28,NJN,SG,28,,771,16.1,.496,27.2,1.6,-0.1,0.4,
