n_clusters,noise,silhouette,calinski_harabasz,davies_bouldin,dbcv,n_components,n_neighbors,min_dist,min_cluster_size,min_samples,composite_2025,dbcv_hdbscan
15,0.16778523489932887,0.4211288392543793,1038.828277504244,0.6265876072955837,-0.0865212166497124,2,50,0.0,15,5,0.7667165831687826,0.08292879834878891
10,0.1319910514541387,0.43127286434173584,360.9566053699562,0.48187616090856356,-0.12173731353668688,2,50,0.0,15,10,0.7111892747520143,0.07092925330497885
12,0.2870991797166294,0.5063614845275879,1309.9718482446144,0.5134049801926445,0.19953120650502293,2,50,0.0,15,15,0.7708216535886108,0.12837968169845593
14,0.16405667412378822,0.4238308370113373,1109.1726675491993,0.6358236421161553,-0.11550824593053678,2,50,0.0,20,5,0.7752748900694841,0.08277896628708059
9,0.12527964205816555,0.42228391766548157,413.460049053029,0.49897725919174374,-0.1486872887446068,2,50,0.0,20,10,0.7171046999376756,0.045098966651030255
12,0.2870991797166294,0.5063614845275879,1309.9718482446144,0.5134049801926445,0.19953120650502293,2,50,0.0,20,15,0.7708216535886108,0.12837968169845593
9,0.0529455630126771,0.3799043297767639,403.8373667137451,0.5498568007587793,-0.19664779932634877,2,50,0.0,25,5,0.7314857172340861,0.13036861297471844
8,0.12304250559284116,0.4188304841518402,468.31479079671476,0.5079404372708213,-0.15018377712340003,2,50,0.0,25,10,0.7227433000245951,0.045998361605395874
10,0.2692020879940343,0.4877059757709503,1527.3081476656973,0.5452106513209399,0.19960128030773325,2,50,0.0,25,15,0.795126084734002,0.14604020455219627
8,0.07457121551081283,0.3933396637439728,430.43132384994163,0.5416727740439656,-0.19079274489307682,2,50,0.0,30,5,0.7296727172933462,0.12712550945536444
7,0.116331096196868,0.4168355464935303,551.7500001493473,0.5284649967943567,-0.14864147937285543,2,50,0.0,30,10,0.6728010031299039,0.08506543044465709
10,0.2692020879940343,0.4877059757709503,1527.3081476656973,0.5452106513209399,0.19960128030773325,2,50,0.0,30,15,0.795126084734002,0.14604020455219627
6,0.035794183445190156,0.3567845821380615,634.2140485838778,0.594760298771372,-0.22693366120065223,2,50,0.0,40,5,0.6962008371455399,0.0323748038746064
7,0.116331096196868,0.4168355464935303,551.7500001493473,0.5284649967943567,-0.14864147937285543,2,50,0.0,40,10,0.6728010031299039,0.08506543044465709
9,0.2453392990305742,0.45137619972229004,1562.9227582305457,0.580951597003457,0.19411460702660163,2,50,0.0,40,15,0.8003969160722257,0.11138912949209248
6,0.035794183445190156,0.3567845821380615,634.2140485838778,0.594760298771372,-0.22693366120065223,2,50,0.0,50,5,0.6962008371455399,0.0323748038746064
6,0.10216256524981357,0.39551225304603577,666.8313723435617,0.5452251623432949,-0.15844829517293463,2,50,0.0,50,10,0.6853612056163174,0.050867452878727334
7,0.2184936614466816,0.39754167199134827,1511.5524320558216,0.6682357968047069,0.12218030188980689,2,50,0.0,50,15,0.7352383955702799,0.0817141501674213
16,0.17300521998508575,0.3520412743091583,394.9593099485907,0.6084091211937585,-0.09849776325662753,2,50,0.1,15,5,0.6904005561457072,0.4767268916735348
8,0.1849366144668158,0.3445250391960144,428.1617099953291,0.6523269271696017,-0.10842200974598412,2,50,0.1,15,10,0.6890139425388904,0.11362637320530106
6,0.18419090231170768,0.3741712272167206,306.9243889406367,0.542075546614403,0.045691171465573055,2,50,0.1,15,15,0.6215608522830594,0.4878468525305345
12,0.1894108873974646,0.3489495813846588,511.9709785103412,0.6342159776626021,-0.13062450795125258,2,50,0.1,20,5,0.6967162688394934,0.4656626337405848
6,0.1476510067114094,0.33793190121650696,629.1948934321903,0.8055602239191408,-0.15869290583364692,2,50,0.1,20,10,0.6593139725122723,0.03089290676116408
6,0.18419090231170768,0.3741712272167206,306.9243889406367,0.542075546614403,0.045691171465573055,2,50,0.1,20,15,0.6215608522830594,0.4878468525305345
11,0.18866517524235646,0.342913419008255,548.6097995406603,0.6600811455386157,-0.14197225819095804,2,50,0.1,25,5,0.6996984402325974,0.4659159668490895
6,0.1476510067114094,0.33793190121650696,629.1948934321903,0.8055602239191408,-0.15869290583364692,2,50,0.1,25,10,0.6593139725122723,0.03089290676116408
6,0.18419090231170768,0.3741712272167206,306.9243889406367,0.542075546614403,0.045691171465573055,2,50,0.1,25,15,0.6215608522830594,0.4878468525305345
7,0.1528709917971663,0.39525729417800903,404.34872025424426,0.5547906672778311,-0.14641358912991143,2,50,0.1,30,5,0.6438621686129758,0.03035189872265717
6,0.1476510067114094,0.33793190121650696,629.1948934321903,0.8055602239191408,-0.15869290583364692,2,50,0.1,30,10,0.6593139725122723,0.03089290676116408
6,0.18419090231170768,0.3741712272167206,306.9243889406367,0.542075546614403,0.045691171465573055,2,50,0.1,30,15,0.6215608522830594,0.4878468525305345
5,0.11483967188665176,0.35675254464149475,602.7612773707732,0.8457799553839361,-0.1538996641347315,2,50,0.1,40,5,0.669337107867306,0.0032199945050637793
5,0.14615958240119314,0.3867779076099396,778.9504262082553,0.8840501999631171,-0.1610275320468866,2,50,0.1,40,10,0.6820638540419585,0.02988066613016448
