player_id,draft_year,pick,round,n_match
harrida01,2004.0,29.0,1.0,15
harride01,2004.0,5.0,1.0,15
harriju01,,,,0
harrilu01,1993.0,28.0,2.0,15
harrima01,,,,0
harrimi01,,,,0
harriot01,1996.0,30.0,2.0,15
harrist01,1985.0,19.0,1.0,15
hartja01,2000.0,49.0,2.0,15
harvean01,,,,0
harvedo01,2000.0,22.0,1.0,15
hasleud01,,,,0
hassejo01,,,,0
hassetr01,2001.0,29.0,2.0,15
hastisc01,1982.0,29.0,2.0,15
hawessp01,2007.0,10.0,1.0,15
hawesst01,,,,0
hawkihe01,1988.0,6.0,1.0,15
hawkimi01,,,,0
hayesch01,,,,0
hayesel01,,,,0
hayesja01,2003.0,10.0,1.0,15
hayesst01,,,,0
haywago01,2010.0,9.0,1.0,15
haywala01,2010.0,30.0,1.0,15
haywobr01,2001.0,20.0,1.0,15
haywosp01,,,,0
headlu01,2005.0,24.0,1.0,15
heardga01,,,,0
hendeal01,1995.0,16.0,1.0,15
hendece02,1997.0,44.0,2.0,15
hendege01,1978.0,64.0,3.0,15
hendege02,2009.0,12.0,1.0,15
hendeto01,,,,0
hendrma01,1996.0,31.0,2.0,15
henryco01,1986.0,89.0,4.0,15
henryxa01,2010.0,12.0,1.0,15
hensost01,1990.0,44.0,2.0,15
herreca01,1990.0,30.0,2.0,15
herrech01,1999.0,33.0,2.0,15
herrmwa01,,,,0
herroke01,1978.0,24.0,2.0,15
hibbero01,2008.0,17.0,1.0,15
hicksjj01,2008.0,19.0,1.0,15
higgiro01,1982.0,31.0,2.0,15
higgise01,1990.0,54.0,2.0,15
higgske01,,,,0
highjo01,1979.0,24.0,2.0,15
hilarne01,2002.0,7.0,1.0,15
hillar01,1976.0,9.0,1.0,15
hillge01,2008.0,26.0,1.0,15
hillgr01,1994.0,3.0,1.0,15
hilljo01,2009.0,8.0,1.0,15
hillty01,1990.0,11.0,1.0,15
hinriki01,2003.0,7.0,1.0,15
hinsoro01,1983.0,20.0,1.0,15
hodgecr01,1982.0,48.0,3.0,15
hodgedo01,1991.0,33.0,2.0,15
hoibefr01,1995.0,52.0,2.0,15
holidjr01,2009.0,17.0,1.0,15
hollabr01,1979.0,14.0,1.0,15
hollili01,,,,0
holliry01,2006.0,50.0,2.0,15
holtomi01,1983.0,53.0,3.0,15
honeyje01,1997.0,38.0,2.0,15
hoppeda01,1986.0,65.0,3.0,15
hopsode01,1987.0,3.0,1.0,15
hordgce01,1979.0,49.0,3.0,15
horfoal01,2007.0,3.0,1.0,15
horfoti01,1988.0,39.0,2.0,15
hornaje01,1986.0,46.0,2.0,15
horryro01,1992.0,11.0,1.0,15
houseed01,2000.0,37.0,2.0,15
houstal01,1993.0,11.0,1.0,15
houstby01,1992.0,27.0,1.0,15
howarbr01,,,,0
howardw01,2004.0,1.0,1.0,15
howarjo01,2003.0,29.0,1.0,15
howarju01,1994.0,5.0,1.0,15
howarst01,,,,0
hubbaph01,1979.0,15.0,1.0,15
hudsole01,2009.0,58.0,2.0,15
hudsotr01,,,,0
hugheed01,,,,0
hugheki01,,,,0
hughela01,1998.0,8.0,1.0,15
humphja01,1984.0,13.0,1.0,15
humphkr01,2004.0,14.0,1.0,15
humphry01,2002.0,19.0,1.0,15
huntebr01,2003.0,56.0,2.0,15
hunteli01,1993.0,10.0,1.0,15
huntest01,2001.0,15.0,1.0,15
hurlebo01,1993.0,7.0,1.0,15
hustoge01,1979.0,50.0,3.0,15
iavarma01,,,,0
ibakase01,2008.0,24.0,1.0,15
iguodan01,2004.0,9.0,1.0,15
ilgauzy01,1996.0,20.0,1.0,15
ilyaser01,2005.0,36.0,2.0,15
irvinby01,1989.0,22.0,1.0,15
isselda01,,,,0
iuzzomi01,1991.0,35.0,2.0,15
iversal01,1996.0,1.0,1.0,15
iveyro01,2004.0,37.0,2.0,15
jackja01,2005.0,22.0,1.0,15
jacksbo01,1997.0,23.0,1.0,15
jacksda01,2008.0,52.0,2.0,15
jacksja01,,,,0
jacksje01,,,,0
jacksji01,1992.0,4.0,1.0,15
jackslu02,2004.0,10.0,1.0,15
jacksma01,1987.0,18.0,1.0,15
jacksma02,1997.0,37.0,2.0,15
jacksst02,1997.0,42.0,2.0,15
jackstr01,1981.0,25.0,2.0,15
jacobca01,2002.0,22.0,1.0,15
jamerda01,1990.0,15.0,1.0,15
jameshe01,,,,0
jamesje01,1998.0,36.0,2.0,15
jamesle01,2003.0,1.0,1.0,15
jamesmi01,,,,0
jamisan01,1998.0,4.0,1.0,15
jaricma01,2000.0,30.0,2.0,15
jasiksa01,,,,0
jeelaab01,,,,0
jeffeal01,2004.0,15.0,1.0,15
