player_id,name,debut,last,span,n_valid,n_gaps,career_games,career_mp,mean_per,peak_per,sd_per,min_mp_valid,pos_mode,all_star_n,all_nba_n,mvp_top5_n,mean_bpm,mean_ws,sum_ws,sum_vorp,mean_usg,mean_ts,debut_age
feickja01,Jamie Feick,1997,2001,5,5,0,201,4316,11.98,14.2,1.3407460609675494,149.0,C,0,0,0,-2.7,1.6599999999999997,8.299999999999999,-0.7,12.180000000000001,0.45899999999999996,22.0
feitlda01,Dave Feitl,1987,1992,6,5,1,275,3001,9.959999999999999,11.9,1.3499629624548968,175.0,C,0,0,0,-6.14,0.30000000000000004,1.5000000000000002,-3.0,20.74,0.47620000000000007,24.0
feltora01,Raymond Felton,2006,2019,14,14,0,971,28829,13.421428571428573,16.6,1.5204222023732052,281.0,PG,0,0,0,-0.7285714285714286,2.8785714285714294,40.30000000000001,10.0,20.035714285714285,0.49607142857142855,21.0
fernaru01,Rudy Fernández,2009,2012,4,4,0,249,5965,13.825,15.5,0.9730750228014281,710.0,SG,0,0,0,1.5250000000000001,3.5249999999999995,14.099999999999998,5.6,18.15,0.5497500000000001,23.0
fernser01,Eric Fernsten,1980,1984,5,4,1,176,1314,10.775,14.4,2.330638324579771,202.0,C,0,0,0,-1.175,0.725,2.9,0.5,14.575,0.524,26.0
ferredu01,Duane Ferrell,1989,1998,10,9,1,583,8734,12.177777777777777,15.6,2.471067145891866,231.0,SF,0,0,0,-2.066666666666667,1.7666666666666666,15.9,0.7,18.655555555555555,0.5217777777777779,23.0
ferryda01,Danny Ferry,1991,2003,13,13,0,917,18133,11.284615384615384,16.0,2.6786466599747873,601.0,PF,0,0,0,-1.169230769230769,2.669230769230769,34.699999999999996,4.8999999999999995,17.03076923076923,0.5326153846153846,24.0
fesenky01,Kyrylo Fesenko,2009,2011,3,3,0,135,1107,9.5,13.0,2.9427877939124323,156.0,C,0,0,0,-4.966666666666667,0.26666666666666666,0.7999999999999999,-1.0,15.333333333333334,0.5053333333333334,22.0
fieldke01,Kenny Fields,1985,1988,4,4,0,184,2692,10.725000000000001,13.3,1.9803724397193576,154.0,SF,0,0,0,-2.95,1.05,4.2,-0.19999999999999998,18.725,0.51675,22.0
fieldla01,Landry Fields,2011,2015,5,5,0,255,6010,11.040000000000001,13.5,1.6451139778143034,216.0,SF,0,0,0,-0.62,2.1,10.5,2.7,13.12,0.5122000000000001,22.0
finlemi01,Michael Finley,1996,2010,15,15,0,1103,37996,15.326666666666666,19.3,3.2084194793629397,709.0,SF,2,0,0,0.7999999999999997,5.686666666666667,85.30000000000001,28.700000000000003,20.973333333333336,0.5273333333333333,22.0
fishede01,Derek Fisher,1997,2014,18,18,0,1287,32719,11.472222222222221,14.8,2.0980958445312994,575.0,PG,0,0,0,-1.0666666666666667,3.461111111111111,62.3,8.8,16.12777777777778,0.5097222222222222,22.0
fizerma01,Marcus Fizer,2001,2005,5,5,0,289,6032,13.62,17.9,2.4350770008359075,738.0,PF,0,0,0,-3.5,0.5399999999999999,2.6999999999999997,-2.6000000000000005,25.14,0.48119999999999996,22.0
flemive01,Vern Fleming,1985,1996,12,12,0,893,24721,14.733333333333334,17.5,2.0001388840666925,686.0,PG,0,0,0,0.18333333333333324,4.341666666666667,52.1,15.299999999999999,18.799999999999997,0.54625,22.0
floydsl01,Sleepy Floyd,1983,1995,13,13,0,957,26383,14.046153846153846,20.2,4.108642932351524,737.0,PG,1,0,0,-0.5692307692307692,3.892307692307692,50.599999999999994,16.599999999999998,20.923076923076923,0.5126153846153846,22.0
flynnjo01,Jonny Flynn,2010,2012,3,3,0,163,3738,10.433333333333334,13.0,2.4689178916188275,416.0,PG,0,0,0,-4.666666666666667,-0.36666666666666664,-1.0999999999999999,-1.9000000000000001,20.96666666666667,0.4656666666666667,20.0
fordch01,Chris Ford,1980,1982,3,3,0,231,6429,9.866666666666667,13.0,2.2528993664954404,1591.0,SG,0,0,0,-0.3,3.8000000000000003,11.4,2.8,14.166666666666666,0.4943333333333333,31.0
forddo01,Don Ford,1980,1982,3,3,0,158,2196,7.166666666666665,9.6,2.517052950487048,201.0,SF,0,0,0,-3.233333333333333,0.6666666666666666,2.0,-0.4,11.200000000000001,0.47433333333333333,27.0
fordph01,Phil Ford,1980,1985,6,6,0,403,10780,12.066666666666668,17.3,3.7672565909720324,290.0,PG,0,0,0,-1.6666666666666667,2.9499999999999997,17.7,2.0000000000000004,17.433333333333334,0.5091666666666668,23.0
fordtj01,T.J. Ford,2004,2012,9,8,1,429,11882,14.325,20.3,3.4248175133866625,191.0,PG,0,0,0,-0.7749999999999999,2.1125,16.9,4.7,21.35,0.49575,20.0
fortsda01,Danny Fortson,1998,2007,10,10,0,440,8832,14.9,24.4,5.6286765762477415,158.0,PF,0,0,0,-3.8200000000000003,2.24,22.400000000000002,-2.5999999999999996,17.88,0.5795999999999999,21.0
fostegr01,Greg Foster,1991,2003,13,11,2,656,7974,8.863636363636363,11.6,2.0676173055751996,298.0,PF,0,0,0,-5.627272727272726,0.5,5.5,-7.0,17.69090909090909,0.4743636363636364,22.0
fosteje01,Jeff Foster,2001,2012,12,12,0,764,15750,13.4,16.2,1.912677007059303,141.0,C,0,0,0,-0.7999999999999999,3.9083333333333337,46.900000000000006,6.200000000000001,11.683333333333335,0.5223333333333333,24.0
fostero01,Rod Foster,1984,1986,3,3,0,207,3446,10.200000000000001,12.1,2.546893532652409,704.0,PG,0,0,0,-3.5,0.7333333333333334,2.2,-1.1,21.066666666666666,0.48500000000000004,23.0
fowlktr01,Tremaine Fowlkes,2002,2004,3,3,0,103,1233,9.466666666666667,12.4,2.408780235351956,261.0,SF,0,0,0,-2.0,0.7000000000000001,2.1,0.2,12.6,0.4676666666666667,25.0
foxri01,Rick Fox,1992,2004,13,13,0,930,23723,13.346153846153848,16.8,2.3578397494366894,846.0,SF,0,0,0,-0.22307692307692312,3.4461538461538455,44.79999999999999,11.8,18.353846153846153,0.532076923076923,22.0
foyera01,Randy Foye,2007,2017,11,11,0,752,19279,11.763636363636364,14.0,2.2369917817025966,1087.0,SG,0,0,0,-1.4363636363636363,2.1363636363636362,23.5,3.8000000000000007,19.463636363636365,0.5192727272727272,23.0
foylead01,Adonal Foyle,1998,2008,11,11,0,733,13060,12.145454545454545,15.3,1.6724308037669091,475.0,C,0,0,0,-1.8272727272727272,1.6727272727272726,18.4,0.8000000000000003,12.454545454545455,0.4843636363636365,22.0
frahmri01,Richie Frahm,2004,2008,5,4,1,140,1473,10.75,15.7,3.7619808611953354,163.0,SG,0,0,0,-1.525,0.7,2.8,0.5000000000000001,15.875,0.524,26.0
francst01,Steve Francis,2000,2008,9,9,0,576,21632,17.08888888888889,21.6,3.570385738402457,199.0,PG,3,0,0,1.5333333333333334,6.011111111111112,54.10000000000001,22.6,24.022222222222226,0.5222222222222223,22.0
frankte01,Tellis Frank,1988,1994,7,5,2,264,4703,10.4,12.4,1.247397290361014,140.0,PF,0,0,0,-3.7399999999999998,0.82,4.1,-2.5,17.06,0.508,22.0
fredean01,Anthony Frederick,1989,1992,4,3,1,147,1640,12.033333333333333,13.0,0.7408703590297626,313.0,SF,0,0,0,-2.6333333333333333,0.2333333333333333,0.7,-0.2,22.333333333333332,0.49066666666666664,24.0
freewo01,World B. Free,1980,1988,9,9,0,583,18515,17.166666666666664,22.7,4.585484343738038,285.0,SG,1,0,0,-0.04444444444444448,5.066666666666666,45.6,15.799999999999997,28.622222222222224,0.5081111111111111,26.0
